Event,Sex,Age,Height,Weight,NOC
Swimming Men's 4 x 100 metres Freestyle Relay,M,22.34526558891455,187.66859122401848,81.36836027713626,USA
Swimming Men's 4 x 100 metres Medley Relay,M,21.658536585365855,184.9834494773519,79.15766550522648,USA
Swimming Men's 4 x 200 metres Freestyle Relay,M,21.393908629441626,185.72893401015227,78.91319796954315,DEU
Swimming Men's 400 metres Freestyle,M,20.494565217391305,183.39492753623188,76.6820652173913,DEU
Swimming Men's 400 metres Individual Medley,M,20.75121951219512,182.68048780487806,75.42926829268292,USA
Swimming Men's 50 metres Freestyle,M,22.912175648702593,186.42914171656687,80.02994011976048,USA
Swimming Women's 10 kilometres Open Water,F,23.893333333333334,170.22666666666666,61.16,BRA
Swimming Women's 100 metres Backstroke,F,19.015122873345934,172.21361058601136,61.82514177693762,DEU
Swimming Women's 100 metres Breaststroke,F,19.534552845528456,169.9979674796748,60.40548780487805,DEU
Swimming Women's 100 metres Butterfly,F,19.69811320754717,169.46415094339622,60.429245283018865,DEU
